id,allergen,name,language,source,category
,gluten,Angereichertes Mehl,de,USDA,
,milch,Milchschokolade,de,USDA,
,soja,Milchschokolade,de,USDA,
,milch,Joghurt,de,USDA,
,gluten,Brezeln,de,USDA,
,milch,Käse,de,USDA,
,milch,Vanille-Light-Eis: Magermilch,de,USDA,
,milch,weißer Cheddar-Käse,de,USDA,
,gluten,Schneeflockenbrezeln,de,USDA,
,milch,Vermont-Cheddar-Käse,de,USDA,
,milch,dunkle Schokolade,de,USDA,
,soja,dunkle Schokolade,de,USDA,
,soja,Pflanzenöl,de,USDA,
,milch,Ricotta,de,USDA,
,soja,Soja},de,USDA,
,milch,Nieselregen,de,USDA,
,soja,Nieselregen,de,USDA,
,milch,Joghurt: kultivierte pasteurisierte fettfreie Milch,de,USDA,
,gluten,Vollkornweißes Vollkornmehl,de,USDA,
,soja,Weizenfreies Tamari,de,USDA,
,gluten,Mehl,de,USDA,
,milch,Romano-Käse,de,USDA,
,milch,2 % oder weniger Butter,de,USDA,
,milch,Cheddar-Käse,de,USDA,
,gluten,Cheddar-Käse,de,USDA,
,sellerie,weniger als 2 % von: gekochtem Gemüse,de,USDA,
,milch,Hüttenkäse,de,USDA,
,soja,Halbsüße Schokoladenstückchen,de,USDA,
,milch,pasteurisierte Molke,de,USDA,
,soja,texturiertes pflanzliches Protein,de,USDA,
,soja,Pflanzenöl,de,USDA,
,soja,Bio-Expeller-gepresstes Sojalecithin,de,USDA,
,gluten,Kuchenknusper,de,USDA,
,soja,Kuchenknusper,de,USDA,
,milch,Frischkäse,de,USDA,
,milch,weiße Schokolade,de,USDA,
,soja,weiße Schokolade,de,USDA,
,fisch,frischer Felchen,de,USDA,
,gluten,Semmelbrösel,de,USDA,
,soja,Margarine,de,USDA,
,nüsse,Cashewnüsse der Extraklasse,de,USDA,
,sulfite,Cabernet-Wein,de,USDA,
,erdnuss,mit Meersalz geröstete Cashewnüsse,de,USDA,
,nüsse,mit Meersalz geröstete Cashewnüsse,de,USDA,
,milch,Milchschokolade,de,USDA,
,soja,Milchschokolade,de,USDA,
,soja,Pflanzenöl,de,USDA,
,milch,Ricotta-Käse,de,USDA,
,gluten,Angereicherte Nudeln,de,USDA,
,milch,Romano-Käse,de,USDA,
,soja,Spareribs nach St. Louis-Art,de,USDA,
,milch,Salz und Gerstenmalz, Molke, ganze Haferflocken",de
,milch,Pilzcremesuppengewürz,de,USDA,
,gluten,Pilzcremesuppengewürz,de,USDA,
,gluten,Waffeln,de,USDA,
,soja,Waffeln,de,USDA,
,senf,Senföl,de,USDA,
,gluten,angereichert mit vier,de,USDA,
,milch,fettfreie Buttermilch,de,USDA,
,milch,Frischkäseglasur: Puderzucker,de,USDA,
,ei,Apfeldessert,de,USDA,
,nüsse,Haselnussmehl,de,USDA,
,erdnuss,geröstete Bio-Erdnüsse,de,USDA,
,nüsse,geröstete Bio-Kürbiskerne,de,USDA,
,soja,dunkle Schokolade,de,USDA,
,milch,dunkle Schokolade,de,USDA,
,soja,Pflanzenöl,de,USDA,
,milch,Milchschokolade,de,USDA,
,soja,Milchschokolade,de,USDA,
,fisch,Meeresmuscheln und Meeresmuschelsaft,de,USDA,
,krebstiere,Meeresmuscheln und Meeresmuschelsaft,de,USDA,
,milch,Buttercreme,de,USDA,
,milch,Von Graziers zertifizierte pasteurisierte Sahne,de,USDA,
,soja,Glutenfreies Tamari mit reduziertem Natriumgehalt,de,USDA,
,gluten,Glutenfreies Tamari mit reduziertem Natriumgehalt,de,USDA,
,nüsse,Bio-Macadamianüsse,de,USDA,
,soja,Margarine,de,USDA,
,milch,Margarine,de,USDA,
,gluten,Karotte und Tomate; Nudeln ; Thunfisch,de,USDA,
,ei,Karotte und Tomate; Nudeln ; Thunfisch,de,USDA,
,fisch,Karotte und Tomate; Nudeln ; Thunfisch,de,USDA,
,erdnuss,geröstete Erdnüsse,de,USDA,
,nüsse,Baumnüsse,de,USDA,
,nüsse,Bio Paranüsse,de,USDA,
,gluten,Gekochte Penne-Nudeln,de,USDA,
,ei,Gekochte Penne-Nudeln,de,USDA,
,milch,Havarti-Käse,de,USDA,
,sulfite,Natriummetabisulfit als Farbstabilisator zugesetzt,de,USDA,
,soja,Meersalz-Toffee,de,USDA,
,milch,Meersalz-Toffee,de,USDA,
,soja,Halbsüße Schokoladenstückchen,de,USDA,
,nüsse,Halbsüße Schokoladenstückchen,de,USDA,
,gluten,gekochte Nudeln,de,USDA,
,nüsse,raffiniertes Kokosöl,de,USDA,
,fisch,Garnelenpaste,de,USDA,
,soja,Soja-Lecthin  und Vanille,de,USDA,
,milch,fettreduzierter Cheddar-Käse,de,USDA,
,nüsse,geröstete Kokosnuss,de,USDA,
,milch,Sauerrahm,de,USDA,
,milch,geriebener Käse,de,USDA,
,milch,Cheddar-Käse,de,USDA,
,soja,Pflanzenöl,de,USDA,
,soja,Koreanisches Gewürz,de,USDA,
,sesam,Koreanisches Gewürz,de,USDA,
,milch,Milch-Calcium-Komplex,de,USDA,
,milch,geriebener Cheddar-Jack-Käse,de,USDA,
,fisch,Alaska-Seelachsfilets,de,USDA,
,soja,Margerine,de,USDA,
,soja,Soja- und Kokosöl,de,USDA,
,milch,Sahne,de,USDA,
,milch,Milchtrockenmasse mindestens 18 %,de,USDA,
,milch,Parmesankäse,de,USDA,
,fisch,Fischbrühe,de,USDA,
,milch,Fischbrühe,de,USDA,
,milch,Parmesan und Romano-Käse,de,USDA,
,milch,Romano-Käse,de,USDA,
,erdnuss,Erdnussbutterchips,de,USDA,
,milch,Erdnussbutterchips,de,USDA,
,soja,Erdnussbutterchips,de,USDA,
,soja,Mayonnaise,de,USDA,
,ei,Mayonnaise,de,USDA,
,milch,Sauerrahm,de,USDA,
,soja,Gewürztes, ohne Antibiotika gezüchtetes Hähnchen ",de,USDA
,ei,Gewürztes, ohne Antibiotika gezüchtetes Hähnchen ",de,USDA
,soja,Bio-Shirokoshi,de,USDA,
,milch,Bio-Cheddar-Käse,de,USDA,
,sesam,geröstetes Bio-Sesamöl,de,USDA,
,soja,Bio-Schokolade,de,USDA,
,sesam,Bio-Expeller-gepresstes Sesamöl, Xanthangummi",de,USDA
,ei,Eigelb,de,USDA,
,soja,gehärtetes Pflanzenöl,de,USDA,
,soja,Pflanzliches Backfett,de,USDA,
,sulfite,Natriummetabisulfit,de,USDA,
,milch,Huhn und Rindfleisch,de,USDA,
,gluten,Gekeimter Bio-Khorasan-Weizen,de,USDA,
,erdnuss,Erdnussbutter,de,USDA,
,krebstiere,Garnelen,de,USDA,
,milch,Hergestellt aus Hartweizenmehl und pasteurisierten Eiern,de,USDA,
,ei,Hergestellt aus Hartweizenmehl und pasteurisierten Eiern,de,USDA,
,gluten,Hergestellt aus Hartweizenmehl und pasteurisierten Eiern,de,USDA,
,milch,Sahne 40 %,de,USDA,
,fisch,Fischbestand,de,USDA,
,nüsse,Mandelbutter,de,USDA,
,milch,Kulturmilch und fettreduzierte Milch,de,USDA,
,milch,Bitterschokolade,de,USDA,
,milch,fettreduzierte Milch,de,USDA,
,gluten,Semmelbrösel,de,USDA,
,soja,Semmelbrösel,de,USDA,
,krebstiere,Garnele,de,USDA,
,sesam,Bio-Sesampaste,de,USDA,
,milch,Cheddar-Käse mit Chipotle-Paprika,de,USDA,
,soja,teilweise gehärtetes Pflanzenöl,de,USDA,
,gluten,grüne Paprika und Bier,de,USDA,
,milch,Hochwertige, fettreduzierte Bio-Milch von grasgefütterten Tieren",de,USDA
,milch,dunkle Schokoladenstückchen,de,USDA,
,soja,dunkle Schokoladenstückchen,de,USDA,
,gluten,gemahlene glutenfreie Tofurky-Wurst: Wasser,de,USDA,
,sulfite,sonnengetrocknete Tomaten,de,USDA,
,nüsse,Cashewnüsse,de,USDA,
,milch,Milchschokolade,de,USDA,
,nüsse,geröstete gesalzene Pekannüsse,de,USDA,
,milch,pasteurisierte teilentrahmte Kuhmilch,de,USDA,
,soja,Sojaöl,de,USDA,
,gluten,Mehl und Salz,de,USDA,
,gluten,Blaubeer-Nuggets,de,USDA,
,soja,Blaubeer-Nuggets,de,USDA,
,ei,Angereicherte Eiernudeln,de,USDA,
,gluten,Angereicherte Eiernudeln,de,USDA,
,milch,aktive Joghurtkulturen l,de,USDA,
,nüsse,Fairtrade getrocknete Kokosnuss,de,USDA,
,ei,French Toast mit Zimtstrudel,de,USDA,
,milch,French Toast mit Zimtstrudel,de,USDA,
,soja,French Toast mit Zimtstrudel,de,USDA,
,gluten,French Toast mit Zimtstrudel,de,USDA,
,milch,kultivierte pasteurisierte Magermilch der Güteklasse A,de,USDA,
,nüsse,Pistazien,de,USDA,
,soja,hydrolysierte Mais- und Sojaproteine,de,USDA,
,gluten,ungebleichtes, nicht angereichertes Weizenmehl",de,USDA
,gluten,Weizengluten und Hefe,de,USDA,
,milch,teilentrahmter Mozzarella-Käse,de,USDA,
,soja,Pflanzenöl,de,USDA,
,gluten,Brot,de,USDA,
,soja,Brot,de,USDA,
,nüsse,Bananenchips,de,USDA,
,milch,Milchschokolade,de,USDA,
,soja,Milchschokolade,de,USDA,
,milch,Bio-Weiß-Cheddar-Gewürz,de,USDA,
,gluten,angereichertes gebleichtes Weizenmehl,de,USDA,
,milch,Butterfett,de,USDA,
,soja,Margarine,de,USDA,
,milch,Margarine,de,USDA,
,soja,Pflanzenöl,de,USDA,
,nüsse,Bio-Kokosnuss,de,USDA,
,sesam,Sesamsamen und Sellerieprotein,de,USDA,
,sellerie,Sesamsamen und Sellerieprotein,de,USDA,
,milch,Bäckerkäse,de,USDA,
,milch,Mozzarella-Käse mit niedrigem Feuchtigkeitsgehalt,de,USDA,
,gluten,Mozzarella-Käse mit niedrigem Feuchtigkeitsgehalt,de,USDA,
,milch,Sahne,de,USDA,
,gluten,Angereicherte Fadennudeln,de,USDA,
,milch,Bio-Feta-Käse,de,USDA,
,soja,Milchfreier Kaffeeweißer,de,USDA,
,milch,Milchfreier Kaffeeweißer,de,USDA,
,erdnuss,Kann enthalten: Erdnuss,de,USDA,
,ei,weniger als 2 %: Eier,de,USDA,
,gluten,ungebleichtes Mehl mit hohem Glutengehalt,de,USDA,
,soja,Margarine,de,USDA,
,gluten,Bio-Semmelbrösel,de,USDA,
,fisch,gekochter Lachs,de,USDA,
,gluten,Weizen,de,USDA,
,milch,Sahne,de,USDA,
,milch,dehydrierter Cheddar-Käse,de,USDA,
,milch,gewürzter Frischkäse,de,USDA,
,ei,gewürzter Frischkäse,de,USDA,
,gluten,Zimtstreusel,de,USDA,
,ei,flüssige ganze Eier,de,USDA,
,milch,Bio-Zartbitterschokolade,de,USDA,
,milch,Sojamehl-Frischkäse,de,USDA,
,soja,Sojamehl-Frischkäse,de,USDA,
,soja,Vanillechips,de,USDA,
,soja,Bio-Zartbitterschokolade,de,USDA,
,gluten,angereichertes gebleichtes Mehl,de,USDA,
,krebstiere,gekochte Garnelen,de,USDA,
,milch,Mozzarella-Käse,de,USDA,
,milch,ungesalzene Butter,de,USDA,
,soja,dunkle Schokolade,de,USDA,
,milch,dunkle Schokolade,de,USDA,
,milch,Mischmilchkäse,de,USDA,
,milch,kultivierte fettfreie Trockenmilch,de,USDA,
,gluten,Udon-Nudeln,de,USDA,
,nüsse,trockene Kokosnuss,de,USDA,
,gluten,Paniermehl: gebleichtes Weizenmehl,de,USDA,
,soja,Soja- oder Baumwollöl,de,USDA,
,soja,Bio-Enzyme,de,USDA,
,milch,Bio-Joghurt,de,USDA,
,sesam,GVO-freies Expeller-gepresstes Sesamöl,de,USDA,
,milch,pasteurisierter amerikanischer Prozesskäse,de,USDA,
,milch,Passierter Joghurt,de,USDA,
,erdnuss,Erdnüsse,de,USDA,
,milch,Feta-Käse,de,USDA,
,milch,Sauerrahm,de,USDA,
,milch,Mozzarella-Käse: fettarmer Mozzarella-Käse,de,USDA,
,nüsse,Bananenchips,de,USDA,
,gluten,Bio-Weizencracker aus Steinmehl: Bio-ungebleichtes Weizenmehl,de,USDA,
,milch,Käse,de,USDA,
,milch,Frischkäse,de,USDA,
,soja,Schokoladenstückchen,de,USDA,
,milch,geriebener Hartkäse,de,USDA,
,milch,Parmesankäse: pasteurisierte teilentrahmte Milch,de,USDA,
,fisch,Sardellenpaste,de,USDA,
,milch,Pilzgewürz,de,USDA,
,sulfite,Karamellfarbe,de,USDA,
,soja,Bio-Schokoladenstückchen,de,USDA,
,milch,Milchproduktfeststoffe,de,USDA,
,gluten,angereichertes Weizenmehl,de,USDA,
,soja,Pflanzenölfett,de,USDA,
,senf,ausgewählte Senfkörner,de,USDA,
,soja,Baumwollsamenöl und/oder Sojaöl,de,USDA,
,milch,Bio-Butter,de,USDA,
,sellerie,Selleriefond,de,USDA,
,gluten,Schokoladenkekse,de,USDA,
,soja,Schokoladenkekse,de,USDA,
,milch,Schokoladenkekse,de,USDA,
,milch,Parmesankäse,de,USDA,
,erdnuss,Erdnussbutterbecher,de,USDA,
,milch,Erdnussbutterbecher,de,USDA,
,soja,Pflanzenöl,de,USDA,
,nüsse,trocken geröstete, ungeschälte Mandeln",de,USDA
,fisch,Sardellenpaste,de,USDA,
,soja,teilweise hydrierte Sojabohne,de,USDA,
,nüsse,geröstete Mandeln,de,USDA,
,milch,geröstete Mandeln,de,USDA,
,milch,geräucherter Provolone-Käse,de,USDA,
,milch,teilentrahmter Mozzarellakäse mit niedrigem Feuchtigkeitsgehalt,de,USDA,
,soja,strukturiertes pflanzliches Protein,de,USDA,
,ei,Mehl ; Eigelb,de,USDA,
,gluten,Mehl ; Eigelb,de,USDA,
,soja,teilweise hydriertes Pflanzenfett,de,USDA,
,gluten,raffiniertes Weizenmehl,de,USDA,
,soja,und weniger als 2 % Sojaproteinisolat,de,USDA,
,ei,gezuckertes Eigelb,de,USDA,
,fisch,Wels,de,USDA,
,milch,Milchcreme,de,USDA,
,gluten,gekochte Nudeln,de,USDA,
,krebstiere,gefriergetrocknete Garnelen,de,USDA,
,nüsse,Haselnüsse 2,de,USDA,
,milch,Monterey-Jack-Käse,de,USDA,
,nüsse,Brasilien,de,USDA,
,soja,Fudge-Stückchen,de,USDA,
,milch,Fudge-Stückchen,de,USDA,
,sulfite,Natriummetabisulfit und Enzyme,de,USDA,
,milch,Käse,de,USDA,
,gluten,Brezelchips: Weizenmehl,de,USDA,
,ei,Bio-Eigelb,de,USDA,
,milch,Enzymmodifizierte Cheddar-Käsefeststoffe,de,USDA,
,gluten,Nudeln und Gemüsenudeln,de,USDA,
,soja,pflanzliches Backfett,de,USDA,
,soja,teilweise hydriertes pflanzliches Backfett,de,USDA,
,sulfite,Schwefeldioxid,de,USDA,
,gluten,Tortenboden,de,USDA,
,sulfite,Tortenboden,de,USDA,
,milch,Butter,de,USDA,
,senf,Kräftiger und süßer BBQ Rub,de,USDA,
,soja,Kräftiger und süßer BBQ Rub,de,USDA,
,gluten,Kräftiger und süßer BBQ Rub,de,USDA,
,gluten,Angereicherte Makkaroni,de,USDA,
,soja,Sojabohnen- und Palmöl,de,USDA,
,gluten,Bio gekeimtes Vollkornmehl,de,USDA,
,milch,Käse nach Chihuahua-Art,de,USDA,
,milch,Romano-Käse,de,USDA,
,gluten,Matzenkrümel Matzenmehl,de,USDA,
,sesam,Sesamöl+,de,USDA,
,milch,halb und halb  pflanzliches Backfett,de,USDA,
,soja,Pflanzenöl,de,USDA,
,soja,Margarine,de,USDA,
,milch,Margarine,de,USDA,
,gluten,angereichertes ungebleichtes Weizenmehl,de,USDA,
,milch,Bio-Cheddar-Käse,de,USDA,
,gluten,Nudeln 70 %: Hartweizengrieß,de,USDA,
,gluten,Mehrkorn-Croutons,de,USDA,
,milch,Mehrkorn-Croutons,de,USDA,
,milch,Zitronen-Hühnerbrühe,de,USDA,
,soja,Miso-Brühe,de,USDA,
,sulfite,Reiswein,de,USDA,
,milch,Eiscreme,de,USDA,
,soja,Mayonnaise,de,USDA,
,ei,Mayonnaise,de,USDA,
,senf,Mayonnaise,de,USDA,
,soja,Halbsüße Schokoladenstückchen,de,USDA,
,milch,geriebener Mozzarella-Käse,de,USDA,
,milch,Scharfer Bio-Cheddar-Käse,de,USDA,
,gluten,Bio-Makkaroni,de,USDA,
,milch,Milchschokolade,de,USDA,
,soja,Milchschokolade,de,USDA,
,gluten,mittelgroßer Couscous,de,USDA,
,soja,Pflanzenöl,de,USDA,
,milch,Milchschokolade,de,USDA,
,soja,Milchschokolade,de,USDA,
,milch,teilentrahmter Mozzarella mit niedrigem Feuchtigkeitsgehalt,de,USDA,
,gluten,angereichertes gebleichtes Weizenmehl,de,USDA,
,milch,Ende Juli mildes Bio-Mojo-Gewürz,de,USDA,
,gluten,ungebleichtes angereichertes Weizenmehl,de,USDA,
,ei,käfigfreies gesalzenes Eigelb,de,USDA,
,nüsse,Geröstete Bio-Macadamianüsse,de,USDA,
,milch,Asiago-Käse,de,USDA,
,soja,Margarine,de,USDA,
,soja,gehärtetes Pflanzenöl,de,USDA,
,sellerie,Bio-frischer Sellerie,de,USDA,
,milch,Schinken mit natürlichen Säften,de,USDA,
,soja,Gochujang-Paprikapaste,de,USDA,
,sesam,Gochujang-Paprikapaste,de,USDA,
,erdnuss,Bio-Erdnussbutter,de,USDA,
,nüsse,Walnusshälften,de,USDA,
,milch,Monterey-Jack-Käse  Colby-Käse,de,USDA,
,gluten,Semmelbrösel,de,USDA,
,soja,Semmelbrösel,de,USDA,
,gluten,Angereichertes Weizenmehl, Natriumbicarbonat, Hefe",de
,soja,Angereichertes Weizenmehl, Natriumbicarbonat, Hefe",de
,ei,Eifeststoffe,de,USDA,
,milch,Milchschokolade,de,USDA,
,soja,Milchschokolade,de,USDA,
,soja,toskanisches Bohnenkraut,de,USDA,
,gluten,toskanisches Bohnenkraut,de,USDA,
,krebstiere,Garnelen,de,USDA,
,sulfite,weißer Balsamico-Essig,de,USDA,
,milch,Schweizer Käse,de,USDA,
,milch,pasteurisierter Schmelzkäse: kultivierte pasteurisierte Milch,de,USDA,
,gluten,Angereichertes Mehl,de,USDA,
,milch,Mozzarella-Käse,de,USDA,
,soja,Müsli,de,USDA,
,gluten,Müsli,de,USDA,
,ei,Nudeln,de,USDA,
,gluten,Nudeln,de,USDA,
,milch,Cheddar-Gewürz,de,USDA,
,milch,Asiago-Käse,de,USDA,
,fisch,Thunfischfilets,de,USDA,
,soja,Halbsüße Schokolade,de,USDA,
,erdnuss,Natriumcitrat} schokoladig überzogene Erdnüsse,de,USDA,
,milch,Natriumcitrat} schokoladig überzogene Erdnüsse,de,USDA,
,ei,käfigfreies Eiweiß,de,USDA,
,milch,Fettarmer Vanillejoghurt,de,USDA,
